MERK,HP, HB , HK , STOK ,TYPE
IRC,90000,110000,120000,4,Yes
IRC,112500,135000,145000,2,No
IRC,163000,200000,210000,10,No
IRC,196500,230000,240000,45,No
IRC,178700,230000,245000,12,No
IRC,249750,285000,305000,4,No
IRC,106000,125000,,8,Yes
IRC,102750,125000,135000,1,Yes
IRC,123750,140000,150000,0,Yes
IRC,,135000,145000,67,Yes
IRC,123000,140000,150000,80,Yes
IRC,116000,135000,145000,52,Yes
IRC,162250,190000,200000,22,No
IRC,185000,220000,230000,85,Yes
IRC,149200,170000,180000,2,Yes
IRC,140000,,175000,90,Yes
IRC,202500,240000,250000,123,Yes
IRC,108000,130000,140000,4,No
IRC,135000,155000,165000,89,No
IRC,104340,125000,135000,23,No
IRC,,140000,150000,11,No
IRC,121500,140000,150000,3,No
IRC,112000,135000,145000,45,No
IRC,121500,140000,150000,6,No
IRC,95000,110000,120000,9,No
IRC,119500,140000,150000,0,No
IRC,116250,140000,150000,0,No
IRC,119500,140000,150000,0,No
IRC,114700,140000,150000,0,No
IRC,118800,150000,160000,0,No
IRC,150000,170000,180000,0,No
IRC,150500,170000,180000,3,No
IRC,150700,170000,180000,7,No
IRC,155000,180000,,12,No
IRC,158500,185000,195000,14,No
IRC,139500,170000,180000,11,No
IRC,154500,175000,185000,6,No
IRC,150000,175000,185000,8,No
IRC,154500,175000,185000,9,No
IRC,150000,175000,185000,0,No
IRC,,175000,185000,2,No
IRC,202500,245000,255000,0,No
IRC,187500,235000,245000,8,No
IRC,214000,260000,270000,0,No
IRC,165000,225000,235000,2,No
IRC,180000,225000,235000,45,No
IRC,185000,230000,240000,62,No
IRC,213750,270000,280000,12,No
IRC,140000,175000,185000,12,No
IRC,161250,210000,220000,23,No
IRC,193500,235000,245000,1,No
HONDA,151700,190000,200000,4,Yes
HONDA,184500,220000,230000,56,Yes
HONDA,114000,135000,145000,23,Yes
HONDA,141750,160000,170000,8,Yes
HONDA,152850,175000,185000,6,Yes
HONDA,175500,200000,210000,9,Yes
HONDA,160950,190000,200000,34,Yes
HONDA,188625,225000,235000,1,Yes
HONDA,110000,130000,140000,1,Yes
HONDA,147765,165000,175000,1,No
HONDA,116000,135000,145000,1,Yes
HONDA,149765,165000,175000,1,Yes
FDR,146000,180000,,1,No
FDR,171550,205000,215000,1,No
FDR,143700,170000,180000,5,No
FDR,171250,195000,205000,8,No
FDR,229220,275000,285000,4,No
FDR,135000,160000,170000,23,No
FDR,161330,185000,195000,45,No
FDR,181770,210000,220000,32,No
FDR,91000,110000,120000,11,No
FDR,108000,130000,140000,82,No
FDR,139000,160000,,36,No
FDR,135500,155000,165000,5,No
FDR,158500,180000,190000,8,Yes
FDR,132130,155000,165000,23,Yes
FDR,166000,190000,200000,8,Yes
FDR,112420,135000,145000,1,No
FDR,146500,165000,175000,1,No
FDR,123120,145000,155000,5,No
FDR,147500,170000,180000,0,No
FDR,179580,205000,215000,4,No
FDR,108000,130000,140000,7,No
FDR,140750,160000,170000,23,No
FDR,112500,135000,,5,No
FDR,145000,165000,175000,42,No
FDR,112000,130000,140000,3,No
FDR,118800,135000,145000,6,No
FDR,207750,250000,260000,8,No
FDR,159870,200000,210000,2,No
FDR,289810,330000,350000,4,Yes
FDR,324850,365000,385000,8,Yes
FDR,392740,460000,475000,20,Yes
SWALLOW,142450,180000,190000,23,Yes
SWALLOW,172480,195000,205000,40,Yes
SWALLOW,84240,105000,115000,52,Yes
SWALLOW,87360,110000,120000,11,Yes
SWALLOW,137830,165000,175000,44,Yes
SWALLOW,167200,195000,205000,5,Yes
SWALLOW,225000,280000,300000,8,Yes
SWALLOW,199680,235000,245000,2,Yes
SWALLOW,69650,80000,90000,33,Yes
SWALLOW,316500,380000,405000,5,Yes
SWALLOW,105000,125000,135000,77,Yes
SWALLOW,143000,165000,175000,83,Yes
SWALLOW,390000,490000,525000,123,Yes
SWALLOW,313500,375000,400000,45,Yes
CORSA,140700,160000,170000,231,Yes
CORSA,165200,190000,200000,5,Yes
CORSA,143500,175000,185000,33,Yes
CORSA,180000,205000,215000,76,Yes
CORSA,161840,185000,195000,33,Yes
CORSA,184280,210000,220000,19,Yes
CORSA,169400,210000,220000,94,Yes
CORSA,205800,245000,255000,78,Yes
ZENEOS,,175000,185000,34,Yes
ZENEOS,175000,200000,210000,23,Yes
ZENEOS,146000,185000,195000,22,Yes
ZENEOS,170000,210000,220000,12,Yes
ZENEOS,144000,185000,195000,6,Yes
ZENEOS,176000,215000,225000,4,Yes
ASPIRA,129750,150000,160000,0,No
ASPIRA,,180000,190000,12,No
ASPIRA,94320,120000,130000,56,No
ASPIRA,130500,150000,160000,72,No
ASPIRA,115500,135000,145000,23,No
PRIMAAX,66000,75000,85000,43,No
PRIMAAX,142500,175000,185000,2,No
PRIMAAX,116500,145000,155000,5,No
MILENNIUM,94500,120000,130000,76,No
MILENNIUM,117000,140000,150000,12,No
